id,name,day,period,professor,type,affiliation,credits,grade,semester
21018401,基礎科学実験,月,3,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,必修,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1,1,"['前学期', '後学期']"
21018401,基礎科学実験,月,4,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,必修,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1,1,"['前学期', '後学期']"
21018402,基礎科学実験,木,3,奥野・松倉・須藤・梶川・〇近藤・〇大石,必修,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1,1,"['前学期', '後学期']"
21018402,基礎科学実験,木,4,奥野・松倉・須藤・梶川・〇近藤・〇大石,必修,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1,1,"['前学期', '後学期']"
21018407,基礎科学実験,木,6,中村（仁）・小久保・佐藤（隆）・○近藤・○大石・○矢野・○篠田・○柏野,必修,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1,1,"['前学期', '後学期']"
21018407,基礎科学実験,木,7,中村（仁）・小久保・佐藤（隆）・○近藤・○大石・○矢野・○篠田・○柏野,必修,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1,1,"['前学期', '後学期']"
21018403,基礎科学実験,金,3,中村(信)・溝口・細川・永松・〇富田・〇内田,必修,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1,1,"['前学期', '後学期']"
21018403,基礎科学実験,金,4,中村(信)・溝口・細川・永松・〇富田・〇内田,必修,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1,1,"['前学期', '後学期']"
